merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed,possible_category_mismatch
Sejahtera Bahagia Trading,Fashion & Apparel,Southern,070457621,sejahterabah99@gmail.com,2026-05-06,devraj.pillai@example-ops.test,A001,2,
Restoran Impian Trading,Health & Beauty,Sarawak,0829382932,restoranimpi30@outlook.com,2026-03-01,margaret.anyi@example-ops.test,A006,1,"The merchant name contains ""Restoran"", which indicates a food and beverage business rather than health and beauty."
Gerai Anugerah Trading,Grocery & Convenience,Southern,073743582,geraianugera30@yahoo.com,2026-04-27,devraj.pillai@example-ops.test,A007,3,
Pusat Jaya,Grocery & Convenience,Southern,070287033,pusatjaya73@gmail.com,2026-02-26,devraj.pillai@example-ops.test,A008,1,
Sejahtera Fajar Holdings,Home & Living,Central,036394337,sejahterafaj25@yahoo.com,2026-01-15,aishah.rahman@example-ops.test,A009,1,
Warung Impian Trading,Food & Beverage,Northern,046101404,warungimpian60@gmail.com,2026-05-21,weiming.tan@example-ops.test,A012,1,
Harmoni Jaya Enterprise,Fashion & Apparel,East Coast,098654304,harmonijayae15@outlook.com,2026-02-09,nurul.huda@example-ops.test,A016,1,
Maju Jaya Trading,Electronics & Repair,Southern,074665465,majujayatrad81@gmail.com,2026-03-26,devraj.pillai@example-ops.test,A018,2,
The Harapan Sdn Bhd,Food & Beverage,Central,033491690,theharapansd70@biz.test,2026-05-26,aishah.rahman@example-ops.test,A019,1,
Sejahtera Bahagia Resources,Home & Living,Northern,041920802,sejahterabah35@yahoo.com,2026-01-19,weiming.tan@example-ops.test,A021,1,
Kedai Anugerah Holdings,Electronics & Repair,Sarawak,0821725355,kedaianugera66@yahoo.com,2026-02-03,margaret.anyi@example-ops.test,A023,1,"The name indicates a general holding company or shop, but does not provide enough specific detail to confirm an electronics and repair focus."
Sinar Harapan Trading,Health & Beauty,East Coast,094947384,sinarharapan59@yahoo.com,2026-03-09,nurul.huda@example-ops.test,A025,2,
